exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage
NSE,EQ,ADANIPORTS,ADANI PORTS LTD,LONG,10.0,2022-04-25 10:37:02,BUY,864.3,8643.0,2022-09-20 14:28:11,SELL,976.85,9768.5,1125.5,13.02
NSE,EQ,ADANIPORTS,ADANI PORTS LTD,LONG,10.0,2022-04-25 10:37:02,BUY,864.3,8643.0,2022-09-20 14:28:11,SELL,976.9,9769.0,1126.0,13.03
NSE,EQ,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES,LONG,15.0,2020-12-23 00:00:00,BUY,288.0,4320.0,2020-12-24 10:06:27,SELL,590.25,8853.75,4533.75,104.95
NSE,EQ,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES,LONG,35.0,2020-12-23 00:00:00,BUY,288.0,10080.0,2020-12-24 10:06:27,SELL,590.2,20657.0,10577.0,104.93
NSE,EQ,CARTRADE,CARTRADE TECH LIMITED,LONG,6.0,2021-08-17 00:00:00,BUY,1618.0,9708.0,2021-09-08 10:38:12,SELL,1485.1,8910.6,-797.4,-8.21
NSE,EQ,CARTRADE,CARTRADE TECH LIMITED,LONG,1.0,2021-08-17 00:00:00,BUY,1618.0,1618.0,2021-09-08 10:38:12,SELL,1485.5,1485.5,-132.5,-8.19
NSE,EQ,CARTRADE,CARTRADE TECH LIMITED,LONG,2.0,2021-08-17 00:00:00,BUY,1618.0,3236.0,2021-09-08 10:38:12,SELL,1485.5,2971.0,-265.0,-8.19
NSE,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,LONG,45.0,2020-09-16 00:00:00,BUY,166.0,7470.0,2020-09-17 10:01:32,SELL,383.25,17246.25,9776.25,130.87
NSE,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,LONG,30.0,2020-09-16 00:00:00,BUY,166.0,4980.0,2020-09-17 10:06:04,SELL,367.1,11013.0,6033.0,121.14
NSE,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,LONG,15.0,2020-09-16 00:00:00,BUY,166.0,2490.0,2020-09-17 10:06:04,SELL,367.1,5506.5,3016.5,121.14
